id,sales_person,country,product,amount,boxes_shipped,first_name,last_name,sale_date,run_id,file_name,file_type,created_at,modified_at
11,Rafaelita Blaksland,UK,Smooth Sliky Salty,4704.0,62,Rafaelita,Blaksland,2022-01-13,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
12,Barr Faughny,USA,Orange Choco,3703.0,11,Barr,Faughny,2022-03-10,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
13,Mallorie Waber,Canada,Eclairs,1442.0,286,Mallorie,Waber,2022-01-13,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
14,Karlen McCaffrey,New Zealand,Drinking Coco,168.0,156,Karlen,McCaffrey,2022-07-28,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
15,Marney O'Breen,New Zealand,Peanut Butter Cubes,8379.0,173,Marney,O'Breen,2022-08-03,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
16,Beverie Moffet,Australia,Organic Choco Syrup,6790.0,356,Beverie,Moffet,2022-01-26,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
17,Van Tuxwell,Canada,Organic Choco Syrup,4067.0,42,Van,Tuxwell,2022-02-14,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
18,Roddy Speechley,USA,Smooth Sliky Salty,3017.0,140,Roddy,Speechley,2022-04-05,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
19,Beverie Moffet,Canada,Milk Bars,8799.0,250,Beverie,Moffet,2022-02-16,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
20,Curtice Advani,UK,85% Dark Bars,1085.0,172,Curtice,Advani,2022-06-08,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
21,Brien Boise,Australia,Eclairs,6888.0,88,Brien,Boise,2022-06-27,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
22,Gunar Cockshoot,USA,Spicy Special Slims,1267.0,157,Gunar,Cockshoot,2022-02-17,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
23,Marney O'Breen,USA,After Nines,4753.0,163,Marney,O'Breen,2022-05-30,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
24,Husein Augar,UK,Drinking Coco,3003.0,113,Husein,Augar,2022-03-14,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
25,Kaine Padly,Australia,Eclairs,7672.0,115,Kaine,Padly,2022-02-28,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
26,Karlen McCaffrey,India,Fruit & Nut Bars,168.0,321,Karlen,McCaffrey,2022-01-26,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
27,Roddy Speechley,Canada,Spicy Special Slims,1652.0,186,Roddy,Speechley,2022-02-09,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
28,Husein Augar,USA,Eclairs,4025.0,112,Husein,Augar,2022-07-07,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
29,Dennison Crosswaite,New Zealand,White Choc,9492.0,151,Dennison,Crosswaite,2022-07-05,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
30,Dennison Crosswaite,New Zealand,Manuka Honey Choco,5061.0,301,Dennison,Crosswaite,2022-06-15,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
31,Van Tuxwell,New Zealand,85% Dark Bars,1722.0,121,Van,Tuxwell,2022-05-24,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
32,Rafaelita Blaksland,UK,99% Dark & Pure,12446.0,150,Rafaelita,Blaksland,2022-06-29,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
33,Wilone O'Kielt,Australia,Manuka Honey Choco,4284.0,94,Wilone,O'Kielt,2022-05-11,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
34,Karlen McCaffrey,UK,Almond Choco,6839.0,133,Karlen,McCaffrey,2022-06-30,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
35,Andria Kimpton,Canada,After Nines,2163.0,70,Andria,Kimpton,2022-05-11,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
36,Roddy Speechley,USA,Manuka Honey Choco,9583.0,315,Roddy,Speechley,2022-07-22,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
37,Andria Kimpton,UK,50% Dark Bites,2653.0,314,Andria,Kimpton,2022-08-24,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
38,Kelci Walkden,New Zealand,After Nines,147.0,72,Kelci,Walkden,2022-07-07,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
39,Camilla Castle,Australia,85% Dark Bars,3654.0,14,Camilla,Castle,2022-05-19,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
40,Karlen McCaffrey,India,Manuka Honey Choco,2443.0,581,Karlen,McCaffrey,2022-07-04,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
41,Kelci Walkden,USA,After Nines,938.0,16,Kelci,Walkden,2022-06-02,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
42,Karlen McCaffrey,USA,Raspberry Choco,14749.0,354,Karlen,McCaffrey,2022-04-15,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
43,Mallorie Waber,Canada,Choco Coated Almonds,4781.0,241,Mallorie,Waber,2022-07-11,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
44,Andria Kimpton,India,Spicy Special Slims,6307.0,142,Andria,Kimpton,2022-02-23,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
45,Madelene Upcott,Canada,Almond Choco,7602.0,102,Madelene,Upcott,2022-08-22,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
46,Kaine Padly,USA,Peanut Butter Cubes,6790.0,188,Kaine,Padly,2022-02-16,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
47,Van Tuxwell,USA,50% Dark Bites,9737.0,160,Van,Tuxwell,2022-01-13,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
48,Curtice Advani,Australia,Milk Bars,6979.0,18,Curtice,Advani,2022-02-14,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
49,Roddy Speechley,India,Eclairs,4382.0,303,Roddy,Speechley,2022-06-10,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
50,Curtice Advani,India,Fruit & Nut Bars,5243.0,176,Curtice,Advani,2022-07-07,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
51,Curtice Advani,Canada,Almond Choco,4865.0,70,Curtice,Advani,2022-03-24,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
52,Brien Boise,Australia,Fruit & Nut Bars,8575.0,23,Brien,Boise,2022-06-06,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
53,Dotty Strutley,Australia,Drinking Coco,91.0,135,Dotty,Strutley,2022-07-19,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
54,Beverie Moffet,USA,Raspberry Choco,14798.0,83,Beverie,Moffet,2022-04-19,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
55,Marney O'Breen,India,85% Dark Bars,2205.0,179,Marney,O'Breen,2022-07-19,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
56,Jehu Rudeforth,Canada,Drinking Coco,441.0,24,Jehu,Rudeforth,2022-07-15,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
57,Ches Bonnell,New Zealand,Spicy Special Slims,3556.0,18,Ches,Bonnell,2022-02-14,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
58,Brien Boise,Canada,99% Dark & Pure,16793.0,416,Brien,Boise,2022-05-18,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
59,Barr Faughny,Australia,Fruit & Nut Bars,15421.0,55,Barr,Faughny,2022-06-30,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
60,Andria Kimpton,Australia,50% Dark Bites,4438.0,227,Andria,Kimpton,2022-06-02,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
61,Andria Kimpton,Australia,Drinking Coco,1603.0,48,Andria,Kimpton,2022-06-28,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
62,Marney O'Breen,Australia,Organic Choco Syrup,273.0,174,Marney,O'Breen,2022-05-16,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
63,Kelci Walkden,Canada,Baker's Choco Chips,3073.0,302,Kelci,Walkden,2022-05-26,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
64,Karlen McCaffrey,India,Almond Choco,6090.0,149,Karlen,McCaffrey,2022-07-06,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
65,Oby Sorrel,India,99% Dark & Pure,10255.0,11,Oby,Sorrel,2022-05-27,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
66,Wilone O'Kielt,Australia,Caramel Stuffed Bars,2030.0,11,Wilone,O'Kielt,2022-04-14,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
67,Van Tuxwell,Australia,Organic Choco Syrup,19453.0,14,Van,Tuxwell,2022-08-10,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
68,Camilla Castle,India,50% Dark Bites,9275.0,411,Camilla,Castle,2022-07-04,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
69,Oby Sorrel,India,Organic Choco Syrup,6181.0,56,Oby,Sorrel,2022-07-08,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
70,Jan Morforth,USA,Peanut Butter Cubes,9037.0,102,Jan,Morforth,2022-07-22,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
71,Gigi Bohling,USA,Choco Coated Almonds,12313.0,103,Gigi,Bohling,2022-03-02,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
72,Gigi Bohling,UK,Almond Choco,5642.0,9,Gigi,Bohling,2022-01-10,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
73,Jehu Rudeforth,New Zealand,White Choc,2800.0,241,Jehu,Rudeforth,2022-03-11,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
74,Andria Kimpton,New Zealand,Peanut Butter Cubes,959.0,265,Andria,Kimpton,2022-06-20,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
75,Van Tuxwell,UK,Organic Choco Syrup,2002.0,214,Van,Tuxwell,2022-08-26,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
76,Roddy Speechley,Canada,Milk Bars,609.0,32,Roddy,Speechley,2022-07-13,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
77,Camilla Castle,USA,Spicy Special Slims,1274.0,244,Camilla,Castle,2022-02-11,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
78,Marney O'Breen,USA,Orange Choco,7595.0,181,Marney,O'Breen,2022-01-27,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
79,Van Tuxwell,UK,99% Dark & Pure,4725.0,137,Van,Tuxwell,2022-01-31,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
80,Camilla Castle,USA,White Choc,9681.0,24,Camilla,Castle,2022-08-18,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
81,Andria Kimpton,USA,Raspberry Choco,14504.0,21,Andria,Kimpton,2022-06-30,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
82,Dotty Strutley,Australia,Fruit & Nut Bars,280.0,311,Dotty,Strutley,2022-08-23,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
83,Brien Boise,New Zealand,Mint Chip Choco,63.0,181,Brien,Boise,2022-08-01,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
84,Roddy Speechley,New Zealand,After Nines,8001.0,10,Roddy,Speechley,2022-05-25,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
85,Roddy Speechley,Canada,Organic Choco Syrup,4032.0,82,Roddy,Speechley,2022-01-10,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
86,Dennison Crosswaite,Australia,70% Dark Bites,5859.0,108,Dennison,Crosswaite,2022-02-07,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
87,Karlen McCaffrey,USA,Orange Choco,11095.0,401,Karlen,McCaffrey,2022-05-12,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
88,Madelene Upcott,Australia,Spicy Special Slims,7182.0,408,Madelene,Upcott,2022-03-07,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
89,Dennison Crosswaite,Australia,85% Dark Bars,6881.0,420,Dennison,Crosswaite,2022-04-05,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
90,Andria Kimpton,Canada,Caramel Stuffed Bars,7154.0,348,Andria,Kimpton,2022-01-03,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
91,Dennison Crosswaite,UK,Eclairs,6188.0,270,Dennison,Crosswaite,2022-03-24,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
92,Madelene Upcott,India,Raspberry Choco,4221.0,9,Madelene,Upcott,2022-07-07,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
93,Van Tuxwell,USA,After Nines,630.0,264,Van,Tuxwell,2022-07-26,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
94,Wilone O'Kielt,Australia,Organic Choco Syrup,1743.0,111,Wilone,O'Kielt,2022-07-07,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
95,Karlen McCaffrey,Canada,50% Dark Bites,2919.0,65,Karlen,McCaffrey,2022-07-15,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
96,Roddy Speechley,New Zealand,Orange Choco,49.0,97,Roddy,Speechley,2022-04-01,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
97,Beverie Moffet,Australia,Eclairs,1827.0,6,Beverie,Moffet,2022-06-20,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
98,Kelci Walkden,UK,Fruit & Nut Bars,13006.0,482,Kelci,Walkden,2022-06-29,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
99,Marney O'Breen,USA,50% Dark Bites,1064.0,106,Marney,O'Breen,2022-06-15,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
100,Husein Augar,USA,After Nines,11571.0,180,Husein,Augar,2022-04-08,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
101,Dennison Crosswaite,Australia,Raspberry Choco,5740.0,31,Dennison,Crosswaite,2022-03-14,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
102,Andria Kimpton,USA,Fruit & Nut Bars,1456.0,359,Andria,Kimpton,2022-07-15,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
103,Kelci Walkden,India,Eclairs,5334.0,80,Kelci,Walkden,2022-04-19,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
104,Marney O'Breen,USA,99% Dark & Pure,4151.0,296,Marney,O'Breen,2022-03-28,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
105,Brien Boise,Canada,Spicy Special Slims,8106.0,101,Brien,Boise,2022-03-04,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
106,Karlen McCaffrey,New Zealand,70% Dark Bites,126.0,40,Karlen,McCaffrey,2022-08-02,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
107,Husein Augar,UK,Spicy Special Slims,4697.0,42,Husein,Augar,2022-08-25,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
108,Marney O'Breen,USA,Almond Choco,7798.0,167,Marney,O'Breen,2022-02-25,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
109,Kelci Walkden,India,Orange Choco,9408.0,138,Kelci,Walkden,2022-06-07,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
110,Jan Morforth,India,Spicy Special Slims,1939.0,520,Jan,Morforth,2022-04-12,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
111,Ches Bonnell,India,Spicy Special Slims,10906.0,94,Ches,Bonnell,2022-07-06,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
112,Kelci Walkden,UK,Smooth Sliky Salty,5929.0,175,Kelci,Walkden,2022-01-19,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
113,Madelene Upcott,Australia,Fruit & Nut Bars,5579.0,92,Madelene,Upcott,2022-01-05,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
114,Madelene Upcott,Canada,70% Dark Bites,10927.0,141,Madelene,Upcott,2022-01-24,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
115,Wilone O'Kielt,Australia,Drinking Coco,623.0,283,Wilone,O'Kielt,2022-04-06,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
116,Gunar Cockshoot,Australia,Fruit & Nut Bars,6013.0,21,Gunar,Cockshoot,2022-06-15,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
117,Gigi Bohling,Canada,Baker's Choco Chips,1505.0,47,Gigi,Bohling,2022-01-28,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
